index,question,answer
3804,"Later got PE lesson, you excited or not?","There's a PE lesson later, are you excited?"
3805,Can borrow your pen? Mine no ink already.,Can I borrow your pen? Mine has run out of ink.
3806,"Today got maths test, you study already?","There's a maths test today, have you studied?"
3807,"Recess time, let's go canteen makan.","It's recess time, let's go to the canteen to eat."
3808,"This project very hard leh, how to do ah?","This project is very difficult, how do we do it?"
3809,"Tomorrow got school trip, you going or not?","There's a school trip tomorrow, are you going?"
3810,"I think I left my homework at home, die liao.","I think I left my homework at home, I'm in trouble."
3811,You know how to solve this question or not?,Do you know how to solve this question?
3812,Teacher say must hand in assignment by today.,The teacher said we must submit the assignment by today.
3813,Can help me with this problem? I don't understand.,Can you help me with this problem? I don't understand.
3814,Why you never come to class yesterday?,Why didn't you come to class yesterday?
3815,I need to go library to borrow some books.,I need to go to the library to borrow some books.
3816,This subject very boring leh.,This subject is very boring.
3817,You got see the new timetable or not?,Have you seen the new timetable?
3818,"I think I fail the test, so difficult.","I think I failed the test, it was so difficult."
3819,"Later got group discussion, don't forget ah.","There's a group discussion later, don't forget."
3820,You want to join the study group or not?,Do you want to join the study group?
3821,I need to ask teacher about this topic.,I need to ask the teacher about this topic.
3822,Can you explain this part to me?,Can you explain this part to me?
3823,"I think I lost my notes, how ah?","I think I lost my notes, what should I do?"
3824,You got bring your calculator or not?,Did you bring your calculator?
3825,This chapter very confusing leh.,This chapter is very confusing.
3826,I need to finish my homework by tonight.,I need to finish my homework by tonight.
3827,You want to study together later?,Do you want to study together later?
3828,I think I need to ask for extra help.,I think I need to ask for extra help.
3829,This assignment very troublesome leh.,This assignment is very troublesome.
3830,You got see the notice board or not?,Did you see the notice board?
3831,"I need to print my project, where got printer?","I need to print my project, where is there a printer?"
3832,You got bring your laptop today?,Did you bring your laptop today?
3833,I think I need to redo my assignment.,I think I need to redo my assignment.
3834,This topic very interesting leh.,This topic is very interesting.
3835,You got finish your homework already?,Have you finished your homework?
3836,I need to ask teacher for extension.,I need to ask the teacher for an extension.
3837,You want to go library study together?,Do you want to go to the library to study together?
3838,I think I need more time to understand this.,I think I need more time to understand this.
3839,This class very fun leh.,This class is very fun.
3840,You got bring your notes or not?,Did you bring your notes?
3841,I need to ask teacher about the homework.,I need to ask the teacher about the homework.
3842,You want to join the club or not?,Do you want to join the club?
3843,I think I need to revise more.,I think I need to revise more.
3844,This lesson very important leh.,This lesson is very important.
3845,You got see the new teacher or not?,Did you see the new teacher?
3846,I need to buy new stationery.,I need to buy new stationery.
3847,This topic very hard to understand.,This topic is very hard to understand.
3848,You want to go for lunch together?,Do you want to go for lunch together?
3849,I think I need to ask for help.,I think I need to ask for help.
3850,This project very interesting leh.,This project is very interesting.
3851,You got bring your assignment today?,Did you bring your assignment today?
3852,I need to finish my project by tomorrow.,I need to finish my project by tomorrow.
3853,This class very difficult leh.,This class is very difficult.
3854,You got see the new schedule or not?,Did you see the new schedule?
3855,I need to ask teacher for clarification.,I need to ask the teacher for clarification.
3856,You want to study together later?,Do you want to study together later?
3857,I think I need to redo my homework.,I think I need to redo my homework.
3858,This subject very interesting leh.,This subject is very interesting.
3859,You got finish your project already?,Have you finished your project?
3860,I need to ask teacher for more time.,I need to ask the teacher for more time.
3861,You want to go library study together?,Do you want to go to the library to study together?
3862,I think I need more time to finish this.,I think I need more time to finish this.
3863,This class very fun leh.,This class is very fun.
3864,You got bring your textbook or not?,Did you bring your textbook?
3865,I need to ask teacher about the project.,I need to ask the teacher about the project.
3866,You want to join the study group or not?,Do you want to join the study group?
3867,I think I need to revise more.,I think I need to revise more.
3868,This lesson very important leh.,This lesson is very important.
3869,You got see the new teacher or not?,Did you see the new teacher?
3870,I need to buy new stationery.,I need to buy new stationery.
3871,This topic very hard to understand.,This topic is very hard to understand.
3872,You want to go for lunch together?,Do you want to go for lunch together?
3873,I think I need to ask for help.,I think I need to ask for help.
3874,This project very interesting leh.,This project is very interesting.
3875,You got bring your assignment today?,Did you bring your assignment today?
3876,I need to finish my project by tomorrow.,I need to finish my project by tomorrow.
3877,This class very difficult leh.,This class is very difficult.
3878,You got see the new schedule or not?,Did you see the new schedule?
3879,I need to ask teacher for clarification.,I need to ask the teacher for clarification.
3880,You want to study together later?,Do you want to study together later?
3881,I think I need to redo my homework.,I think I need to redo my homework.
3882,This subject very interesting leh.,This subject is very interesting.
3883,You got finish your project already?,Have you finished your project?
3884,I need to ask teacher for more time.,I need to ask the teacher for more time.
3885,You want to go library study together?,Do you want to go to the library to study together?
3886,I think I need more time to finish this.,I think I need more time to finish this.
3887,This class very fun leh.,This class is very fun.
3888,You got bring your textbook or not?,Did you bring your textbook?
3889,I need to ask teacher about the project.,I need to ask the teacher about the project.
3890,You want to join the study group or not?,Do you want to join the study group?
3891,I think I need to revise more.,I think I need to revise more.
3892,This lesson very important leh.,This lesson is very important.
3893,You got see the new teacher or not?,Did you see the new teacher?
3894,I need to buy new stationery.,I need to buy new stationery.
3895,This topic very hard to understand.,This topic is very hard to understand.
3896,You want to go for lunch together?,Do you want to go for lunch together?
3897,I think I need to ask for help.,I think I need to ask for help.
3898,This project very interesting leh.,This project is very interesting.
3899,You got bring your assignment today?,Did you bring your assignment today?
3900,I need to finish my project by tomorrow.,I need to finish my project by tomorrow.
3901,"Wah, today gym so crowded ah.","Wow, the gym is so crowded today."
3902,You going gym later or not?,Are you going to the gym later?
3903,I need to jio my friend to gym.,I need to invite my friend to the gym.
3904,Yesterday I gym until very tired.,I was very tired after going to the gym yesterday.
3905,"Eh, you got bring water bottle to gym or not?","Hey, did you bring a water bottle to the gym?"
3906,I think I need to buy new gym shoes.,I think I need to buy new gym shoes.
3907,Gym membership so expensive leh.,The gym membership is so expensive.
3908,I always go gym after work.,I always go to the gym after work.
3909,You want to join me for gym session tomorrow?,Do you want to join me for a gym session tomorrow?
3910,"I need to lose weight, so must go gym more often.","I need to lose weight, so I must go to the gym more often."
3911,"My gym got new equipment, very shiok!","My gym has new equipment, it's very nice!"
3912,I prefer to go gym in the morning.,I prefer to go to the gym in the morning.
3913,You know any good gym near our place?,Do you know any good gyms near our place?
3914,I need to buy new gym clothes.,I need to buy new gym clothes.
3915,I always see him at the gym.,I always see him at the gym.
3916,"Gym got promotion now, you know?","The gym has a promotion now, did you know?"
3917,I like to do cardio at the gym.,I like to do cardio at the gym.
3918,"You need to warm up before gym, very important.","You need to warm up before going to the gym, it's very important."
3919,I always bring my own towel to the gym.,I always bring my own towel to the gym.
3920,I think I overdid it at the gym today.,I think I overdid it at the gym today.
3921,You want to try the new gym class with me?,Do you want to try the new gym class with me?
3922,I need to stretch more after gym.,I need to stretch more after going to the gym.
3923,I always feel good after gym.,I always feel good after going to the gym.
3924,I think I need a personal trainer at the gym.,I think I need a personal trainer at the gym.
3925,I like to listen to music while at the gym.,I like to listen to music while at the gym.
3926,I need to improve my stamina at the gym.,I need to improve my stamina at the gym.
3927,I always see her doing yoga at the gym.,I always see her doing yoga at the gym.
3928,I need to drink more water at the gym.,I need to drink more water at the gym.
3929,I like to use the treadmill at the gym.,I like to use the treadmill at the gym.
3930,I need to work on my abs at the gym.,I need to work on my abs at the gym.
3931,I always feel sore after gym.,I always feel sore after going to the gym.
3932,I need to buy a new gym bag.,I need to buy a new gym bag.
3933,I like to do weight training at the gym.,I like to do weight training at the gym.
3934,I need to find a gym buddy.,I need to find a gym buddy.
3935,I always go to the gym on weekends.,I always go to the gym on weekends.
3936,I need to improve my flexibility at the gym.,I need to improve my flexibility at the gym.
3937,I like to do HIIT workouts at the gym.,I like to do HIIT workouts at the gym.
3938,I need to buy a new gym mat.,I need to buy a new gym mat.
3939,I always feel energized after gym.,I always feel energized after going to the gym.
3940,I need to work on my endurance at the gym.,I need to work on my endurance at the gym.
3941,I like to do strength training at the gym.,I like to do strength training at the gym.
3942,I need to buy a new gym membership.,I need to buy a new gym membership.
3943,I always go to the gym with my friend.,I always go to the gym with my friend.
3944,I need to work on my balance at the gym.,I need to work on my balance at the gym.
3945,I like to do circuit training at the gym.,I like to do circuit training at the gym.
3946,I need to buy a new gym towel.,I need to buy a new gym towel.
3947,I always feel relaxed after gym.,I always feel relaxed after going to the gym.
3948,I need to work on my core at the gym.,I need to work on my core at the gym.
3949,I like to do pilates at the gym.,I like to do pilates at the gym.
3950,I need to buy a new gym outfit.,I need to buy a new gym outfit.
3951,I always go to the gym in the evening.,I always go to the gym in the evening.
3952,I need to work on my strength at the gym.,I need to work on my strength at the gym.
3953,I like to do spinning at the gym.,I like to do spinning at the gym.
3954,I need to buy a new gym water bottle.,I need to buy a new gym water bottle.
3955,I always feel motivated after gym.,I always feel motivated after going to the gym.
3956,I need to work on my agility at the gym.,I need to work on my agility at the gym.
3957,I like to do aerobics at the gym.,I like to do aerobics at the gym.
3958,I need to buy a new gym lock.,I need to buy a new gym lock.
3959,I always feel refreshed after gym.,I always feel refreshed after going to the gym.
3960,I need to work on my speed at the gym.,I need to work on my speed at the gym.
3961,I like to do Zumba at the gym.,I like to do Zumba at the gym.
3962,I need to buy a new gym membership card.,I need to buy a new gym membership card.
3963,I always go to the gym before work.,I always go to the gym before work.
3964,I need to work on my flexibility at the gym.,I need to work on my flexibility at the gym.
3965,I like to do bodyweight exercises at the gym.,I like to do bodyweight exercises at the gym.
3966,I need to buy a new gym pass.,I need to buy a new gym pass.
3967,I always feel accomplished after gym.,I always feel accomplished after going to the gym.
3968,I need to work on my coordination at the gym.,I need to work on my coordination at the gym.
3969,I like to do resistance training at the gym.,I like to do resistance training at the gym.
3970,I need to buy a new gym membership plan.,I need to buy a new gym membership plan.
3971,I always go to the gym with my colleague.,I always go to the gym with my colleague.
3972,I need to work on my posture at the gym.,I need to work on my posture at the gym.
3973,I like to do functional training at the gym.,I like to do functional training at the gym.
3974,I need to buy a new gym membership package.,I need to buy a new gym membership package.
3975,I always feel happy after gym.,I always feel happy after going to the gym.
3976,I need to work on my breathing at the gym.,I need to work on my breathing at the gym.
3977,I like to do plyometrics at the gym.,I like to do plyometrics at the gym.
3978,I need to buy a new gym membership renewal.,I need to buy a new gym membership renewal.
3979,I always go to the gym with my partner.,I always go to the gym with my partner.
3980,I need to work on my recovery at the gym.,I need to work on my recovery at the gym.
3981,I like to do calisthenics at the gym.,I like to do calisthenics at the gym.
3982,I need to buy a new gym membership discount.,I need to buy a new gym membership discount.
3983,I always feel strong after gym.,I always feel strong after going to the gym.
3984,I need to work on my mobility at the gym.,I need to work on my mobility at the gym.
3985,I like to do kettlebell workouts at the gym.,I like to do kettlebell workouts at the gym.
3986,I need to buy a new gym membership extension.,I need to buy a new gym membership extension.
3987,I always go to the gym with my sibling.,I always go to the gym with my sibling.
3988,I need to work on my endurance at the gym.,I need to work on my endurance at the gym.
3989,I like to do rowing at the gym.,I like to do rowing at the gym.
3990,I need to buy a new gym membership upgrade.,I need to buy a new gym membership upgrade.
3991,I always feel fit after gym.,I always feel fit after going to the gym.
3992,I need to work on my strength at the gym.,I need to work on my strength at the gym.
3993,I like to do boxing at the gym.,I like to do boxing at the gym.
3994,I need to buy a new gym membership renewal.,I need to buy a new gym membership renewal.
3995,I always go to the gym with my cousin.,I always go to the gym with my cousin.
3996,I need to work on my flexibility at the gym.,I need to work on my flexibility at the gym.
3997,I like to do TRX workouts at the gym.,I like to do TRX workouts at the gym.
3998,I need to buy a new gym membership plan.,I need to buy a new gym membership plan.
3999,I always feel refreshed after gym.,I always feel refreshed after going to the gym.
4000,I need to work on my agility at the gym.,I need to work on my agility at the gym.
4001,"Wah, you play guitar so well ah!","Wow, you play the guitar so well!"
4002,"Eh, can teach me how to play piano or not?","Hey, can you teach me how to play the piano?"
4003,"I just started learning violin, very hard leh.","I just started learning the violin, it's very difficult."
4004,My brother play drums until very noisy lah.,My brother plays the drums until it's very noisy.
4005,You know how to play ukulele? So cool!,You know how to play the ukulele? That's so cool!
4006,I need to practice my flute more often.,I need to practice my flute more often.
4007,She play saxophone very pro one.,She plays the saxophone very professionally.
4008,Can you play any musical instrument?,Can you play any musical instrument?
4009,I want to learn how to play the trumpet.,I want to learn how to play the trumpet.
4010,My sister play clarinet in school band.,My sister plays the clarinet in the school band.
4011,I always wanted to play the cello.,I have always wanted to play the cello.
4012,He play harmonica very nice to listen.,He plays the harmonica very nicely.
4013,You got learn how to play any instrument before?,Have you ever learned how to play any instrument before?
4014,I think playing the harp is very elegant.,I think playing the harp is very elegant.
4015,"She can play the accordion, very impressive.","She can play the accordion, it's very impressive."
4016,"I need to tune my guitar, the sound not right.","I need to tune my guitar, the sound isn't right."
4017,He play the bass guitar in a band.,He plays the bass guitar in a band.
4018,I want to buy a new keyboard for practice.,I want to buy a new keyboard for practice.
4019,"She play the oboe very well, got talent.","She plays the oboe very well, she has talent."
4020,I need to practice my scales on the piano.,I need to practice my scales on the piano.
4021,"He can play the banjo, very unique.","He can play the banjo, it's very unique."
4022,I want to learn how to play the sitar.,I want to learn how to play the sitar.
4023,She play the marimba in the orchestra.,She plays the marimba in the orchestra.
4024,I need to buy new strings for my violin.,I need to buy new strings for my violin.
4025,He play the trombone very loud one.,He plays the trombone very loudly.
4026,I want to join a band and play the guitar.,I want to join a band and play the guitar.
4027,She can play the xylophone very well.,She can play the xylophone very well.
4028,I need to practice my drumming skills.,I need to practice my drumming skills.
4029,He play the tuba in the school band.,He plays the tuba in the school band.
4030,I want to learn how to play the viola.,I want to learn how to play the viola.
4031,She play the French horn very beautifully.,She plays the French horn very beautifully.
4032,I need to practice my guitar chords.,I need to practice my guitar chords.
4033,He can play the mandolin very well.,He can play the mandolin very well.
4034,I want to learn how to play the bagpipes.,I want to learn how to play the bagpipes.
4035,She play the bassoon in the orchestra.,She plays the bassoon in the orchestra.
4036,I need to buy a new drum set.,I need to buy a new drum set.
4037,He play the electric guitar very cool.,He plays the electric guitar very coolly.
4038,I want to learn how to play the dulcimer.,I want to learn how to play the dulcimer.
4039,She play the glockenspiel very well.,She plays the glockenspiel very well.
4040,I need to practice my trumpet scales.,I need to practice my trumpet scales.
4041,He can play the lute very nicely.,He can play the lute very nicely.
4042,I want to learn how to play the zither.,I want to learn how to play the zither.
4043,She play the euphonium in the band.,She plays the euphonium in the band.
4044,I need to buy a new music stand.,I need to buy a new music stand.
4045,He play the synthesizer very well.,He plays the synthesizer very well.
4046,I want to learn how to play the theremin.,I want to learn how to play the theremin.
4047,She play the vibraphone very nicely.,She plays the vibraphone very nicely.
4048,I need to practice my saxophone more.,I need to practice my saxophone more.
4049,He can play the didgeridoo very well.,He can play the didgeridoo very well.
4050,I want to learn how to play the hurdy-gurdy.,I want to learn how to play the hurdy-gurdy.
4051,She play the pan flute very beautifully.,She plays the pan flute very beautifully.
4052,I need to buy a new metronome.,I need to buy a new metronome.
4053,He play the steel drums very well.,He plays the steel drums very well.
4054,I want to learn how to play the ocarina.,I want to learn how to play the ocarina.
4055,She play the congas very nicely.,She plays the congas very nicely.
4056,I need to practice my clarinet more.,I need to practice my clarinet more.
4057,He can play the sitar very well.,He can play the sitar very well.
4058,I want to learn how to play the koto.,I want to learn how to play the koto.
4059,She play the shamisen very beautifully.,She plays the shamisen very beautifully.
4060,I need to buy a new music book.,I need to buy a new music book.
4061,He play the bouzouki very well.,He plays the bouzouki very well.
4062,I want to learn how to play the balalaika.,I want to learn how to play the balalaika.
4063,She play the djembe very nicely.,She plays the djembe very nicely.
4064,I need to practice my oboe more.,I need to practice my oboe more.
4065,He can play the guzheng very well.,He can play the guzheng very well.
4066,I want to learn how to play the erhu.,I want to learn how to play the erhu.
4067,She play the pipa very beautifully.,She plays the pipa very beautifully.
4068,I need to buy a new guitar pick.,I need to buy a new guitar pick.
4069,He play the sarod very well.,He plays the sarod very well.
4070,I want to learn how to play the veena.,I want to learn how to play the veena.
4071,She play the tabla very nicely.,She plays the tabla very nicely.
4072,I need to practice my cello more.,I need to practice my cello more.
4073,He can play the bansuri very well.,He can play the bansuri very well.
4074,I want to learn how to play the dizi.,I want to learn how to play the dizi.
4075,She play the yangqin very beautifully.,She plays the yangqin very beautifully.
4076,I need to buy a new music stand.,I need to buy a new music stand.
4077,He play the morin khuur very well.,He plays the morin khuur very well.
4078,I want to learn how to play the gayageum.,I want to learn how to play the gayageum.
4079,She play the haegeum very nicely.,She plays the haegeum very nicely.
4080,I need to practice my viola more.,I need to practice my viola more.
4081,He can play the kamancheh very well.,He can play the kamancheh very well.
4082,I want to learn how to play the santur.,I want to learn how to play the santur.
4083,She play the tar very beautifully.,She plays the tar very beautifully.
4084,I need to buy a new music sheet.,I need to buy a new music sheet.
4085,He play the oud very well.,He plays the oud very well.
4086,I want to learn how to play the qanun.,I want to learn how to play the qanun.
4087,She play the rebab very nicely.,She plays the rebab very nicely.
4088,I need to practice my harp more.,I need to practice my harp more.
4089,He can play the saz very well.,He can play the saz very well.
4090,I want to learn how to play the kora.,I want to learn how to play the kora.
4091,She play the mbira very beautifully.,She plays the mbira very beautifully.
4092,I need to buy a new music tuner.,I need to buy a new music tuner.
4093,He play the ngoni very well.,He plays the ngoni very well.
4094,I want to learn how to play the balafon.,I want to learn how to play the balafon.
4095,She play the dundun very nicely.,She plays the dundun very nicely.
4096,I need to practice my marimba more.,I need to practice my marimba more.
4097,He can play the shekere very well.,He can play the shekere very well.
4098,I want to learn how to play the talking drum.,I want to learn how to play the talking drum.
4099,She play the udu very beautifully.,She plays the udu very beautifully.
4100,I need to buy a new drumstick.,I need to buy a new drumstick.
4101,"Wah, your singing damn power lah!","Wow, your singing is really powerful!"
4102,"Eh, you got go karaoke last night ah?","Hey, did you go to karaoke last night?"
4103,"Her voice so nice, like angel like that.","Her voice is so nice, like an angel."
4104,I always sing in the shower one.,I always sing in the shower.
4105,"You sing until so good, can join competition already.","You sing so well, you can join a competition."
4106,"Don't shy lah, just sing only.","Don't be shy, just sing."
4107,"Wah, you hit that high note, steady lah!","Wow, you hit that high note, impressive!"
4108,"I like to sing oldies, very shiok.","I like to sing oldies, it's very enjoyable."
4109,"Your singing got improve leh, keep it up!","Your singing has improved, keep it up!"
4110,Sing together more fun mah.,It's more fun to sing together.
4111,"I always sing when I drive, very relaxing.","I always sing when I drive, it's very relaxing."
4112,Her singing can make people cry one.,Her singing can make people cry.
4113,"You sing so loud, whole block can hear you.","You sing so loudly, the whole block can hear you."
4114,"I like to sing at home, no need to paiseh.","I like to sing at home, no need to be embarrassed."
4115,"Your singing got feel, very touching.","Your singing has emotion, it's very touching."
4116,"Sing more, practice makes perfect mah.","Sing more, practice makes perfect."
4117,"I always sing when I happy, very shiok.","I always sing when I'm happy, it's very enjoyable."
4118,"You sing until so good, can record album already.","You sing so well, you can record an album."
4119,"Don't care what people think, just sing your heart out.","Don't care what people think, just sing your heart out."
4120,"Wah, your singing got improve a lot leh.","Wow, your singing has improved a lot."
4121,"I like to sing when I cook, very fun.","I like to sing when I cook, it's very fun."
4122,"Her singing very powerful, can feel the emotion.","Her singing is very powerful, you can feel the emotion."
4123,"You sing until so good, can become singer already.","You sing so well, you can become a singer."
4124,"Don't shy lah, your singing very good one.","Don't be shy, your singing is very good."
4125,"Wah, you sing that song until very nice.","Wow, you sang that song very nicely."
4126,"I like to sing when I do housework, very relaxing.","I like to sing when I do housework, it's very relaxing."
4127,"Her voice very sweet, like honey like that.","Her voice is very sweet, like honey."
4128,"You sing until so good, can perform on stage already.","You sing so well, you can perform on stage."
4129,"Don't care lah, just sing for fun.","Don't care, just sing for fun."
4130,"Wah, your singing really improve a lot.","Wow, your singing has really improved a lot."
4131,"I like to sing when I exercise, very motivating.","I like to sing when I exercise, it's very motivating."
4132,"Her singing very touching, can feel the pain.","Her singing is very touching, you can feel the pain."
4133,"You sing until so good, can join choir already.","You sing so well, you can join a choir."
4134,"Don't shy lah, your singing very nice one.","Don't be shy, your singing is very nice."
4135,"Wah, you sing that song until very powerful.","Wow, you sang that song very powerfully."
4136,"I like to sing when I walk, very relaxing.","I like to sing when I walk, it's very relaxing."
4137,"Her voice very strong, can hit high notes easily.","Her voice is very strong, she can hit high notes easily."
4138,"You sing until so good, can teach others already.","You sing so well, you can teach others."
4139,"Don't care lah, just sing for yourself.","Don't care, just sing for yourself."
4140,"Wah, your singing really got improve.","Wow, your singing has really improved."
4141,"I like to sing when I relax, very calming.","I like to sing when I relax, it's very calming."
4142,"Her singing very emotional, can feel the sadness.","Her singing is very emotional, you can feel the sadness."
4143,"You sing until so good, can join band already.","You sing so well, you can join a band."
4144,"Don't shy lah, your singing very powerful one.","Don't be shy, your singing is very powerful."
4145,"Wah, you sing that song until very touching.","Wow, you sang that song very touchingly."
4146,"I like to sing when I travel, very fun.","I like to sing when I travel, it's very fun."
4147,"Her voice very clear, can hear every word.","Her voice is very clear, you can hear every word."
4148,"You sing until so good, can join musical already.","You sing so well, you can join a musical."
4149,"Don't care lah, just sing for fun.","Don't care, just sing for fun."
4150,"Wah, your singing really got improve a lot.","Wow, your singing has really improved a lot."
4151,"I like to sing when I work, very relaxing.","I like to sing when I work, it's very relaxing."
4152,"Her singing very powerful, can feel the energy.","Her singing is very powerful, you can feel the energy."
4153,"You sing until so good, can join talent show already.","You sing so well, you can join a talent show."
4154,"Don't shy lah, your singing very good one.","Don't be shy, your singing is very good."
4155,"Wah, you sing that song until very nice.","Wow, you sang that song very nicely."
4156,"I like to sing when I relax, very enjoyable.","I like to sing when I relax, it's very enjoyable."
4157,"Her voice very sweet, like honey like that.","Her voice is very sweet, like honey."
4158,"You sing until so good, can perform on stage already.","You sing so well, you can perform on stage."
4159,"Don't care lah, just sing for fun.","Don't care, just sing for fun."
4160,"Wah, your singing really improve a lot.","Wow, your singing has really improved a lot."
4161,"I like to sing when I exercise, very motivating.","I like to sing when I exercise, it's very motivating."
4162,"Her singing very touching, can feel the pain.","Her singing is very touching, you can feel the pain."
4163,"You sing until so good, can join choir already.","You sing so well, you can join a choir."
4164,"Don't shy lah, your singing very nice one.","Don't be shy, your singing is very nice."
4165,"Wah, you sing that song until very powerful.","Wow, you sang that song very powerfully."
4166,"I like to sing when I walk, very relaxing.","I like to sing when I walk, it's very relaxing."
4167,"Her voice very strong, can hit high notes easily.","Her voice is very strong, she can hit high notes easily."
4168,"You sing until so good, can teach others already.","You sing so well, you can teach others."
4169,"Don't care lah, just sing for yourself.","Don't care, just sing for yourself."
4170,"Wah, your singing really got improve.","Wow, your singing has really improved."
4171,"I like to sing when I relax, very calming.","I like to sing when I relax, it's very calming."
4172,"Her singing very emotional, can feel the sadness.","Her singing is very emotional, you can feel the sadness."
4173,"You sing until so good, can join band already.","You sing so well, you can join a band."
4174,"Don't shy lah, your singing very powerful one.","Don't be shy, your singing is very powerful."
4175,"Wah, you sing that song until very touching.","Wow, you sang that song very touchingly."
4176,"I like to sing when I travel, very fun.","I like to sing when I travel, it's very fun."
4177,"Her voice very clear, can hear every word.","Her voice is very clear, you can hear every word."
4178,"You sing until so good, can join musical already.","You sing so well, you can join a musical."
4179,"Don't care lah, just sing for fun.","Don't care, just sing for fun."
4180,"Wah, your singing really got improve a lot.","Wow, your singing has really improved a lot."
4181,"I like to sing when I work, very relaxing.","I like to sing when I work, it's very relaxing."
4182,"Her singing very powerful, can feel the energy.","Her singing is very powerful, you can feel the energy."
4183,"You sing until so good, can join talent show already.","You sing so well, you can join a talent show."
4184,"Don't shy lah, your singing very good one.","Don't be shy, your singing is very good."
4185,"Wah, you sing that song until very nice.","Wow, you sang that song very nicely."
4186,"I like to sing when I relax, very enjoyable.","I like to sing when I relax, it's very enjoyable."
4187,"Her voice very sweet, like honey like that.","Her voice is very sweet, like honey."
4188,"You sing until so good, can perform on stage already.","You sing so well, you can perform on stage."
4189,"Don't care lah, just sing for fun.","Don't care, just sing for fun."
4190,"Wah, your singing really improve a lot.","Wow, your singing has really improved a lot."
4191,"I like to sing when I exercise, very motivating.","I like to sing when I exercise, it's very motivating."
4192,"Her singing very touching, can feel the pain.","Her singing is very touching, you can feel the pain."
4193,"You sing until so good, can join choir already.","You sing so well, you can join a choir."
4194,"Don't shy lah, your singing very nice one.","Don't be shy, your singing is very nice."
4195,"Wah, you sing that song until very powerful.","Wow, you sang that song very powerfully."
4196,"I like to sing when I walk, very relaxing.","I like to sing when I walk, it's very relaxing."
4197,"Her voice very strong, can hit high notes easily.","Her voice is very strong, she can hit high notes easily."
4198,"You sing until so good, can teach others already.","You sing so well, you can teach others."
4199,"Don't care lah, just sing for yourself.","Don't care, just sing for yourself."
4200,"Wah, your singing really got improve.","Wow, your singing has really improved."
4201,"Wah, you dance so well leh!","Wow, you dance so well!"
4202,"Eh, you going for the dance class later?","Hey, are you going for the dance class later?"
4203,I think I need to practice my moves more.,I think I need to practice my moves more.
4204,Your dance steps very smooth ah.,Your dance steps are very smooth.
4205,Can teach me that dance move?,Can you teach me that dance move?
4206,I shy to dance in front of people lah.,I'm shy to dance in front of people.
4207,"You see that guy, he dance like pro sia.",Did you see that guy? He dances like a pro.
4208,I love dancing to K-pop songs.,I love dancing to K-pop songs.
4209,"Dance floor so crowded, cannot move properly.","The dance floor is so crowded, I can't move properly."
4210,"I need new dance shoes, my old one spoil already.","I need new dance shoes, my old ones are already spoiled."
4211,You dance until sweat so much ah.,You danced until you sweat so much.
4212,Let's go for a dance battle!,Let's go for a dance battle!
4213,I can't wait for the dance performance next week.,I can't wait for the dance performance next week.
4214,Your dance partner very good leh.,Your dance partner is very good.
4215,I always mess up the steps during practice.,I always mess up the steps during practice.
4216,You should join the dance competition lah.,You should join the dance competition.
4217,I feel so happy when I dance.,I feel so happy when I dance.
4218,Can we try a different dance style today?,Can we try a different dance style today?
4219,"I need to stretch before dancing, if not later muscle pain.","I need to stretch before dancing, otherwise I'll have muscle pain later."
4220,You dance like you floating on air sia.,You dance like you're floating on air.
4221,I love the energy of this dance routine.,I love the energy of this dance routine.
4222,Can we dance to a slower song?,Can we dance to a slower song?
4223,I need to work on my timing.,I need to work on my timing.
4224,Your dance outfit very nice leh.,Your dance outfit is very nice.
4225,I always get nervous before a dance performance.,I always get nervous before a dance performance.
4226,"Let's take a break, I'm tired from dancing.","Let's take a break, I'm tired from dancing."
4227,"I love dancing with you, so fun!","I love dancing with you, it's so fun!"
4228,Can we practice that move again?,Can we practice that move again?
4229,I need to improve my footwork.,I need to improve my footwork.
4230,You dance until so tired ah.,You danced until you're so tired.
4231,I love the music they play for dancing.,I love the music they play for dancing.
4232,Can we try a new dance routine?,Can we try a new dance routine?
4233,I always feel happy when I dance.,I always feel happy when I dance.
4234,Your dance moves very sharp leh.,Your dance moves are very sharp.
4235,I need to remember the dance steps.,I need to remember the dance steps.
4236,You dance until floor also shake ah.,You danced until the floor also shakes.
4237,I love dancing to hip-hop music.,I love dancing to hip-hop music.
4238,Can we dance together at the party?,Can we dance together at the party?
4239,I need to practice my spins.,I need to practice my spins.
4240,Your dance routine very creative leh.,Your dance routine is very creative.
4241,I always enjoy dancing with you.,I always enjoy dancing with you.
4242,Can we try a different dance move?,Can we try a different dance move?
4243,I need to work on my balance.,I need to work on my balance.
4244,You dance until so graceful ah.,You danced so gracefully.
4245,I love the rhythm of this dance.,I love the rhythm of this dance.
4246,Can we dance to a faster song?,Can we dance to a faster song?
4247,I need to practice my jumps.,I need to practice my jumps.
4248,Your dance moves very smooth leh.,Your dance moves are very smooth.
4249,I always feel energized after dancing.,I always feel energized after dancing.
4250,Can we try a new dance style?,Can we try a new dance style?
4251,I need to work on my coordination.,I need to work on my coordination.
4252,You dance until so powerful ah.,You danced so powerfully.
4253,I love the choreography of this dance.,I love the choreography of this dance.
4254,Can we dance to a slower tempo?,Can we dance to a slower tempo?
4255,I need to practice my turns.,I need to practice my turns.
4256,Your dance routine very impressive leh.,Your dance routine is very impressive.
4257,I always have fun dancing with you.,I always have fun dancing with you.
4258,Can we try a different dance routine?,Can we try a different dance routine?
